date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,daily_return,price_ma_5,price_ma_10,price_ma_20,is_ma_bullish,open_interest,open_interest_ma_5,open_interest_ma_10,is_open_interest_ma_bullish,speculation,speculation_median_past,speculation_mad_past,speculation_mad_score,signal,position_scale,is_effective_signal
2025-04-01,74660.0485069908,down_trend,31.0,0,,31,price_up_speculation_up,-1.0262526876618678,0.0028052435195728975,74545.56337712183,74337.59243629915,75201.51751314466,0,355825.0,363999.6,374337.1,0,-1.2271868505892307,-1.0269757612219261,0.13158604244921696,-1.0262526876618678,0,1.0,0
2025-04-02,73724.81222965005,down_trend,31.0,0,,31,price_up_speculation_up,1.079186520525709,-0.012526596165460258,74356.4222982758,74162.96377360883,75107.80727263002,0,366192.0,363945.4,372965.9,0,-0.8650564929507968,-1.0830610210623128,0.13625266526023327,1.079186520525709,0,1.0,0
2025-04-03,73560.76572671706,down_trend,31.0,0,,31,price_up_speculation_up,-0.5178393759912215,-0.0022251193047734263,74146.42881210033,74161.8560019133,74935.19422871438,0,362218.0,362795.0,369667.1,0,-1.132005797640146,-1.0269757612219261,0.13680263092320594,-0.5178393759912215,0,1.0,0
2025-04-07,71403.0454593066,down_trend,31.0,0,,31,price_up_speculation_up,3.955492194520369,-0.02933248785672693,73559.97333959748,73947.6800522541,74685.45338720096,0,343692.0,358102.8,364842.6,0,-0.411598364356919,-1.0830610210623128,0.11449785134353985,3.955492194520369,0,1.0,0
2025-04-08,70668.94100891167,down_trend,31.0,0,,31,price_up_speculation_up,3.3808177558211905,-0.010281136409136749,72803.52258631524,73613.31442835278,74418.1997295541,0,346849.0,354955.2,361323.6,0,-0.5091519446380757,-1.0830610210623128,0.11449785134353985,3.3808177558211905,0,1.0,0
2025-04-09,70332.91160630052,down_trend,31.0,0,,31,price_up_speculation_up,3.3701606169810447,-0.004754980021120958,71938.09520617718,73241.8292916495,74124.31185443206,0,334956.0,350781.4,357390.5,0,-0.4816621020059458,-1.0269757612219261,0.10913694210952896,3.3701606169810447,0,1.0,0
2025-04-10,70997.73254985863,down_trend,31.0,0,,31,price_up_speculation_up,0.38408315521164876,0.009452487155366951,71392.6792702189,72874.55078424735,73880.83377108899,0,329983.0,343539.6,353742.5,0,-0.8441370413895702,-0.9488672935077127,0.1839174312452111,0.38408315521164876,0,1.0,0
2025-04-11,70709.07060622497,down_trend,31.0,0,,31,price_up_speculation_up,-0.6581297015204565,-0.004065791022705545,70822.34024612047,72484.38452911041,73636.60231991064,0,326331.0,336362.2,349578.6,0,-1.1277142053090847,-0.9237506561597892,0.20903406859313456,-0.6581297015204565,0,1.0,0
2025-04-14,71103.20749790172,down_trend,31.0,0,,31,price_up_speculation_up,0.38395782853734217,0.005574064095279718,70762.3726538395,72161.17299671848,73401.52818373266,0,321690.0,331961.8,345032.3,0,-0.8746372263984689,-0.9682815980129336,0.16450312673999024,0.38395782853734217,0,1.0,0
2025-04-15,71087.33323015014,down_trend,31.0,0,,31,price_up_speculation_up,-1.3996130386633103,-0.00022325670402489894,70846.05109808719,71824.78684220123,73131.95755227169,0,323050.0,327202.0,341078.6,0,-1.4154603601596374,-0.8698468596746328,0.262937865078291,-1.3996130386633103,0,1.0,0
2025-04-16,70676.10144038187,down_trend,31.0,0,,31,price_up_speculation_up,-0.15393557402294095,-0.005784881371718842,70914.68906490346,71426.39213554033,72881.99228591972,0,324289.0,325068.6,337925.0,0,-0.9405393946605578,-0.8698468596746328,0.3097494644400556,-0.15393557402294095,0,1.0,0
2025-04-17,70755.53845674977,down_trend,31.0,0,,31,price_up_speculation_up,-0.910716503140072,0.0011239586614000263,70866.25024628169,71129.4647582503,72646.21426592956,0,321270.0,323326.0,333432.8,0,-1.2209239588700518,-0.8698468596746328,0.2600131417999826,-0.910716503140072,0,1.0,0
2025-04-18,70544.51105069152,down_trend,31.0,0,,31,price_up_speculation_up,0.32631455505503726,-0.0029824860450640145,70833.33833517501,70827.83929064774,72494.84764628051,0,322559.0,322571.6,329466.9,0,-0.7775074512596174,-0.9075883105295133,0.26887656772558566,0.32631455505503726,0,1.0,0
2025-04-21,69349.62691828462,down_trend,31.0,0,,31,price_up_speculation_up,1.3018187821211564,-0.01693801707050313,70482.62221925159,70622.49743654554,72285.08874439982,0,347511.0,327735.8,329848.8,0,-0.2624508841821059,-0.8593871338940196,0.30928113033550453,1.3018187821211564,0,1.0,0
